CD_ESTACAO,NOME,SG_ESTADO,WIND_SPEED_mean,WIND_SPEED_120m_mean,WIND_SPEED_median,WIND_SPEED_120m_median,WIND_SPEED_std,WIND_SPEED_120m_std,MINIMUM_DATE,DATASET_SIZE,NON_NULL_RATIO,NON_NULL_DATASET_SIZE,NULL_CELLS_QUANTITY,LATITUDE,LONGITUDE,ALTITUDE
A456,SALVADOR (RADIO FAROL),BA,1.42514953630028,2.2237707303842855,1.3,2.028490257243052,0.709482473865177,1.107060219938623,2018-03-12,22467,0.7150932478746607,16066,27366,-12.80833333,-38.49583333,31.0
A406,CRUZ DAS ALMAS,BA,2.4495343741440703,3.8221973944101557,2.3,3.5888673781992453,1.5147082324571506,2.363516070850134,2018-01-01,21906,0.8471195106363554,18557,11124,-12.67555554,-39.08944444,219.76
A333,SAO GONCALO,PB,2.0356973719964286,3.1764556044538774,2.0,3.1207542419123873,1.482979949342494,2.3140079837908027,2018-01-01,25761,0.9965839835410116,25673,96,-6.835777,-38.311583,237.04
A413,FEIRA DE SANTANA,BA,2.365401399752985,3.6909182260523132,2.3,3.5888673781992453,1.2309836119219077,1.9207986643149626,2018-01-01,24295,0.9336900596830624,22684,5872,-12.1961111,-38.96749999,229.64
A348,CABACEIRAS,PB,2.49178713514791,3.8881276359777774,2.7,4.213018226581723,1.9504574225853126,3.0434491376013084,2018-01-01,25387,0.9170441564580297,23281,2159,-7.48333333,-36.28638888,391.96
A326,BOM JESUS DO PIAUI,PI,0.22192924722336488,0.3462933198383694,0.0,0.0,0.700074909994978,1.0923808725116304,2018-01-01,24310,0.8263266145619087,20088,4454,-9.08333333,-44.32638888,296.0
A319,IGUATU,CE,2.443184989920918,3.812289960536189,2.3,3.5888673781992453,1.357218182199491,2.1177721996498406,2018-01-01,19366,0.7704223897552411,14920,5609,-6.39638888,-39.26888888,221.56
A442,EUCLIDES DA CUNHA,BA,2.899939859363435,4.524999808699626,2.8,4.3690559386773415,1.3158446487220814,2.0532138845985752,2018-01-01,21968,0.7956573197378004,17479,22750,-10.537233,-38.996605,431.96
A330,PAULISTANA,PI,3.1280735183200346,4.880974350655528,3.2,4.99320678705982,1.7659215769092722,2.755503626012112,2018-01-01,25191,0.9985312214679846,25154,149,-8.132288,-41.142945,376.0
A364,GILBUES,PI,2.11546812856068,3.3009280679181,1.8,2.8086788177211486,1.3266164559950486,2.070021966218663,2018-01-01,18606,0.9673223691282382,17998,3967,-9.87527777,-45.34583333,425.1
A416,CORRENTINA,BA,1.448979850998984,2.2609550082253294,1.3,2.028490257243052,0.8548324354851323,1.333860974582262,2018-01-01,23625,0.7596613756613757,17947,13500,-13.33249999,-44.61749999,551.71
A335,PIRIPIRI,PI,1.880123473982268,2.9337016533746083,1.7,2.6526411056255292,1.0682465646312633,1.6668674989906749,2018-01-01,22136,0.471358872425009,10434,21553,-4.276047,-41.794568,157.89
A429,BARRA,BA,1.7544311490978157,2.7375742253451167,1.6,2.49660339352991,1.2449105569194272,1.9425299506539078,2018-01-01,26325,0.8379107312440646,22058,4454,-11.08472221,-43.13888888,407.5
A448,CURACA,BA,2.989485381461471,4.664724592665478,3.0,4.681131362868581,1.2373513137468037,1.9307346805556012,2018-01-01,26156,0.3763954733139624,9845,35084,-9.00138888,-39.9125,370.0
A426,GUANAMBI,BA,3.6407641781480296,5.680965126379066,3.4,5.3052822112510585,1.953206448163048,3.04773865421773,2018-01-01,24968,0.9418856135853892,23517,1497,-14.20805555,-42.74972221,552.23
A313,CAMPINA GRANDE,PB,3.272909462105746,5.106973043630848,3.3,5.149244499155439,1.33166164578102,2.077894364931575,2018-01-01,24001,0.9705428940460814,23294,715,-7.225574,-35.904831,546.17
A430,PIATA,BA,2.63527981459671,4.1120303300143854,2.6,4.056980514486104,1.4906101640779486,2.3259139962919884,2018-01-01,26321,0.9665286273317883,25440,885,-13.155681,-41.774125,1283.95
A419,POCO VERDE,SE,1.2960309097295397,2.022296979594016,0.0,0.0,1.9969260811612266,3.115957769284689,2018-01-01,22785,0.7123546192670617,16231,7192,-10.73805555,-38.10833333,367.01
A305,FORTALEZA,CE,2.3986753017368265,3.7428380614328387,2.4,3.7449050902948646,1.378500190547229,2.150980158563649,2018-01-01,23779,0.9960469321670381,23685,134,-3.81583333,-38.53777777,29.55
A342,CRATEUS,CE,2.0043885191347752,3.12760198676517,1.8,2.8086788177211486,1.028383878725749,1.6046666759238477,2018-01-01,24274,0.921891736013842,22378,2668,-5.18666666,-40.67222221,298.19
A316,CAICO,RN,2.683097861919563,4.1866445170257665,2.6,4.056980514486104,1.2980620528850157,2.0254663289032075,2018-01-01,21234,0.7744183856079871,16444,5052,-6.46749999,-37.08499999,171.26
